IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
40.233.77.216,2603:c021:5:8c88::825,443,180.39,CA,YYZ,18.46,27.74
159.203.2.180,159.203.2.180,443,106.85,CA,YYZ,46.32,71.68
147.182.156.112,147.182.156.112,443,94.6,CA,YYZ,45.23,46.59
103.214.69.149,103.214.69.149,443,80.9,CA,YYZ,25.35,381.36
38.9.96.61,38.9.96.61,443,72.6,CA,YUL,30.75,31.1
159.203.18.237,159.203.18.237,443,61.81,CA,YYZ,29.62,42.78
140.238.144.211,2603:c021:4:9a88::1022,443,53.1,CA,YYZ,18.44,43.46
40.233.87.120,2603:c021:4:9a88::1016,443,49.51,CA,YYZ,26.02,28.62
138.197.173.118,138.197.173.118,443,45.18,CA,YYZ,38.0,37.79
103.214.69.134,103.214.69.134,443,39.79,CA,YUL,18.61,334.83
45.133.16.41,45.133.16.41,443,38.83,CA,YYZ,20.25,47.49
40.233.116.225,40.233.116.225,443,35.63,CA,YYZ,19.03,105.41
40.233.99.248,2603:c021:4:9a88::1020,443,33.87,CA,YYZ,25.95,33.11
158.69.219.232,158.69.219.232,8443,30.81,CA,YYZ,17.21,56.47
158.69.112.254,158.69.112.254,443,30.34,CA,YYZ,15.54,40.42
158.69.219.232,158.69.219.232,443,29.22,CA,YYZ,19.19,61.69
167.160.190.137,167.160.190.137,443,27.79,CA,YYZ,32.38,83.5
185.206.170.192,185.206.170.192,443,27.36,CA,YYZ,19.08,351.65
68.233.122.42,68.233.122.42,443,24.54,CA,EWR,49.84,70.03
15.157.60.182,15.157.60.182,443,24.37,CA,YUL,25.06,26.81
103.214.69.199,103.214.69.199,443,22.72,CA,YYZ,22.14,344.56
158.69.220.24,158.69.220.24,443,18.63,CA,YYZ,14.85,47.13
158.69.220.85,158.69.220.85,443,17.34,CA,YYZ,19.43,52.23
167.160.188.156,167.160.188.156,443,17.28,CA,YYZ,23.92,58.79
65.49.232.101,65.49.232.101,443,14.38,CA,YVR,67.18,74.63
72.11.145.117,72.11.145.117,443,13.86,CA,YYZ,17.07,60.75
172.98.207.58,172.98.207.6,443,13.22,CA,YYZ,22.09,28.31
35.182.59.30,35.182.59.30,2087,13.18,CA,YYZ,17.77,38.35
103.214.69.7,103.214.69.7,443,11.0,CA,YYZ,24.41,354.99
35.182.59.30,35.182.59.30,443,10.6,CA,YYZ,18.79,44.02
70.79.240.221,70.79.240.221,443,10.2,CA,YVR,81.07,119.35
35.182.59.30,35.182.59.30,2053,9.24,CA,YYZ,18.32,37.71
158.69.220.24,158.69.220.24,8443,8.58,CA,YYZ,15.68,56.0
172.93.32.237,172.93.32.237,443,8.23,CA,YVR,91.66,143.11
158.69.220.85,158.69.220.85,8443,8.04,CA,YYZ,26.56,53.04
104.129.183.69,104.129.183.69,443,6.52,CA,YVR,88.21,98.4
150.242.90.62,150.242.90.62,443,6.45,CA,YVR,87.3,395.39
24.78.21.213,24.78.21.213,443,6.19,CA,ORD,67.0,161.18
158.51.123.177,158.51.123.177,443,5.17,CA,SEA,76.38,87.26
45.133.17.106,45.133.17.106,443,4.08,CA,YYZ,42.62,32.99
40.233.71.238,2603:c021:5:8c88::1006,443,1.63,CA,YYZ,19.76,31.33
45.133.17.118,45.133.17.118,2053,1.4,CA,YYZ,22.49,39.97
45.133.17.118,45.133.17.118,443,1.38,CA,YYZ,23.07,40.04
45.133.17.118,45.133.17.118,2087,1.35,CA,YYZ,19.16,39.98
45.133.17.118,45.133.17.118,2083,1.34,CA,YYZ,22.06,35.45
45.133.17.118,45.133.17.118,8443,1.31,CA,YYZ,18.33,38.34
103.63.30.163,103.63.30.163,443,10.99,CH,ZRH,95.54,104.52
185.237.225.95,185.237.225.95,443,10.85,CH,GVA,97.27,162.26
140.238.209.8,140.238.209.8,443,10.31,CH,ZRH,96.24,99.54
179.237.108.163,179.237.108.163,443,9.56,CH,GVA,109.0,130.03
179.255.191.88,179.255.191.88,443,9.14,CH,ZRH,105.93,109.62
82.21.4.172,82.21.4.172,443,9.05,CH,GVA,90.1,98.88
84.234.17.132,84.234.17.132,443,8.84,CH,GVA,95.77,102.93
45.140.205.7,45.140.205.7,443,8.72,CH,ZRH,127.75,122.01
179.237.108.163,179.237.108.163,8443,8.62,CH,GVA,130.99,136.24
83.228.193.162,83.228.193.162,443,8.38,CH,GVA,106.82,113.1
83.228.193.188,83.228.193.188,8443,7.98,CH,GVA,98.79,102.41
45.143.200.141,45.143.200.141,443,7.96,CH,ZRH,100.67,107.8
213.176.18.108,213.176.18.108,443,7.91,CH,ZRH,128.68,135.16
171.22.16.231,171.22.16.231,443,7.85,CH,ZRH,101.71,106.68
152.67.64.55,152.67.64.55,443,7.63,CH,ZRH,121.32,135.33
83.228.193.162,83.228.193.162,8443,7.59,CH,GVA,133.15,115.67
